JCT,JUNCTION
BR?KLYN,BROOKLYN
BR?KLYNAVE,BROOKLYN AVE
[0-9] GRN$,GREEN STREET
GRN,GREEN
GDN,GARDEN
GDNS,GARDENS
PR?K,PARK
UN,UNION
PRT,PORT
PT,POINT
ISL?,ISLAND
N ?Y,NEW YORK
PKWA?Y,PARKWAY
EXPR?W?A?Y,EXPRESSWAY
FT,FORT
BLV?D?,BOULEVARD
WH?T,WHITE
PLN?S,PLAINS
RIV,RIVER
HL,HILL
BRG,BRIDGE
NO?R?,NORTH
SO,SOUTH
W EST,WEST
EST,EAST
EA?,EAST
^AVENUE W$,AVENUEW
WE?S?,WEST
AVENUEW,AVENUE W
WST,WEST
WET,WEST
VAN DM,VAN DAM
SE,SOUTHEAST
SW,SOUTHWEST
NE,NORTHEAST
NW,NORTHWEST
VLG,VILLAGE
VLL,VILLAGE
CRT,COURT
CIR,CIRCLE
MDW,MEADOW
CRK,CREEK
MT,MOUNT
REV,REVEREND
GR?N?D? ?CO?NCO?U?R?S?E?,GRAND CONCOURSE
CO?NCO?U?RS,CONCOURSE
EDWA?RDS? E?L? GRNT?,EDWARD L GRANT
ST RAYMONDS?,SAINT RAYMOND
ST NICH?OLAS,SAINT NICHOLAS
ST NICH?ALOS,SAINT NICHOLAS
ST LAWRENCE,SAINT LAWRENCE
ST MARKS?,SAINT MARK
ST ANDREWs?,SAINT ANDREW
ST JOHNS?,SAINT JOHN
ST ANNS?,SAINT ANN
ST PAULS?,SAINT PAUL
ST MARYS?,SAINT MARYS
PLN,PLAIN
BCH,BEACH
HA?VE?N,HAVEN
RT,ROUTE
YD,YARD
SQ,SQUARE
SHR,SHORE
VW,VIEW
CP,CAPE
HW,HIGHWAY
BX,BRONX
F ?D ?R ?DRI?V?E?,ROOSEVELT DRIVE
GRV,GROVE
WA?L?K,WALK
LP,LOOP
FLD,FIELD
 ?UTO , 
 UTO, 
UNIV,UNIVERSITY
AVE,AVENUE
RDG,RIDGE
