GRN,GREEN
GDN,GARDEN
GDNS,GARDENS
PR?K,PARK
UN,UNION
PRT,PORT
PT,POINT
ISL?,ISLAND
PKWA?Y,PARKWAY
EXPR?W?A?Y,EXPRESSWAY
FT,FORT
BLV?D?,BOULEVARD
RIV,RIVER
NO?R?,NORTH
SO,SOUTH
E,EAST
^AVENUE W$,AVENUEW
W,WEST
AVENUEW,AVENUE W
SE,SOUTHEAST
SW,SOUTHWEST
NE,NORTHEAST
NW,NORTHWEST
MT,MOUNT
REV,REVEREND
ST RAYMONDS?,SAINT RAYMOND
ST NICH?OLAS,SAINT NICHOLAS
ST NICH?ALOS,SAINT NICHOLAS
ST LAWRENCE,SAINT LAWRENCE
ST MARKS?,SAINT MARK
ST ANDREWS?,SAINT ANDREW
ST JOHNS?,SAINT JOHN
ST ANNS?,SAINT ANN
ST PAULS?,SAINT PAUL
ST MARYS?,SAINT MARYS
HW,HIGHWAY
UNIV,UNIVERSITY
AVE,AVENUE
