ALLEY,ALY
ANNEX,ANX
ARCADE,ARC
AVENUE,AVE
BAYOU,YU
BEACH,BCH
BEND,BND
BLUFF,BLF
BOTTOM,BTM
BOULEVARD,BLVD
BRANCH,BR
BRIDGE,BRG
BROOK,BRK
BURG,BG
BYPASS,BYP
CAMP,CP
CANYON,CYN
CAPE,CPE
CAUSEWAY,CSWY
CENTER,CTR
CIRCLE,CIR
CLIFFS,CLFS
CLUB,CLB
CORNER,COR
CORNERS,CORS
COURSE,CRSE
COURT,CT
COURTS,CTS
COVE,CV
CREEK,CRK
CRESCENT,CRES
CROSSING,XING
DALE,DL
DAM,DM
DIVIDE,DV
DRIVE,DR
ESTATES,EST
EXPRESSWAY,EXPY
EXTENSION,EXT
FALL,FALL
FALLS,FLS
FERRY,FRY
FIELD,FLD
FIELDS,FLDS
FLATS,FLT
FORD,FOR
FOREST,FRST
FORGE,FGR
FORK,FORK
FORKS,FRKS
FORT,FT
FREEWAY,FWY
GARDENS,GDNS
GATEWAY,GTWY
GLEN,GLN
GREEN,GN
GROVE,GRV
HARBOR,HBR
HAVEN,HVN
HEIGHTS,HTS
HIGHWAY,HWY
HILL,HL
HILLS,HLS
HOLLOW,HOLW
INLET,INLT
ISLAND,IS
ISLANDS,ISS
ISLE,ISLE
JUNCTION,JCT
KEY,CY
KNOLLS,KNLS
LAKE,LK
LAKES,LKS
LANDING,LNDG
LANE,LN
LIGHT,LGT
LOAF,LF
LOCKS,LCKS
LODGE,LDG
LOOP,LOOP
MALL,MALL
MANOR,MNR
MEADOWS,MDWS
MILL,ML
MILLS,MLS
MISSION,MSN
MOUNT,MT
MOUNTAIN,MTN
NECK,NCK
ORCHARD,ORCH
OVAL,OVAL
PARK,PARK
PARKWAY,PKY
PASS,PASS
PATH,PATH
PIKE,PIKE
PINES,PNES
PLACE,PL
PLAIN,PLN
PLAINS,PLNS
PLAZA,PLZ
POINT,PT
PORT,PRT
PRAIRIE,PR
RADIAL,RADL
RANCH,RNCH
RAPIDS,RPDS
REST,RST
RIDGE,RDG
RIVER,RIV
ROAD,RD
ROW,ROW
RUN,RUN
SHOAL,SHL
SHOALS,SHLS
SHORE,SHR
SHORES,SHRS
SPRING,SPG
SPRINGS,SPGS
SPUR,SPUR
SQUARE,SQ
STATION,STA
STRAVENUES,STRA
STREAM,STRM
STREET,ST
SUMMIT,SMT
TERRACE,TER
TRACE,TRCE
TRACK,TRAK
TRAIL,TRL
TRAILER,TRLR
TUNNEL,TUNL
TURNPIKE,TPKE
UNION,UN
VALLEY,VLY
VIADUCT,VIA
VIEW,VW
VILLAGE,VLG
VILLE,VL
VISTA,VIS
WALK,WALK
WAY,WAY
WELLS,WLS
