STATE LINE ROAD,STATE LINE,RD
PLANK ROAD,PLANK,RD
STETSON ROAD,STETSON,RD
SOUTH HAMMOND ROAD,HAMMOND,RD
T795,T795,
BLACK BRIDGE,BLACK,BRG
STATE HIGHWAY 120A,120A,
ANDERSON HILL ROAD,ANDERSON HILL,RD
LINCOLN AVENUE,LINCOLN,AVE
RYE LAKE AVENUE,RYE LAKE,AVE
INTERSTATE 684,684,
CONNECTING ROAD,CONNECTING ROAD,
NEW ORCHARD ROAD,NEW ORCHARD,RD
GATEWAY LANE,GATEWAY,LN
SOUTHERN TIER EXPRESSWAY,SOUTHERN TIER,EXPY
BARR ROAD,BARR,RD
PEEBLES ISLAND ROAD,PEEBLES ISLAND,RD
DELAWARE AVENUE,DELAWARE,AVE
SARATOGA STREET,SARATOGA,ST
MOHAWK STREET,MOHAWK,ST
CAYUGA PLAZA,CAYUGA,PLZ
UNNAMED STREET,UNNAMED STREET,
REMSEN STREET,REMSEN,ST
FOUNTAIN PLACE,FOUNTAIN,PL
CAYUGA STREET,CAYUGA,ST
CANVASS STREET,CANVASS,ST
ONEIDA STREET,ONEIDA,ST
ONTARIO STREET,ONTARIO,ST
VAN RENSSELAER STREET,VAN RENSSELAER,ST
PARKING LOT,PARKING LOT,
STATE ROUTE 787,787,
NEW CORTLAND STREET,NEW CORTLAND,ST
NEW STREET,NEW,ST
WHITEHALL STREET,WHITEHALL,ST
PINE STREET,PINE,ST
LINDEN STREET,LINDEN,ST
SHORT STREET,SHORT,ST
LAURA DRIVE,LAURA,DR
KOSCIUSKO AVENUE,KOSCIUSKO,AVE
GANSEVOORT AVENUE,GANSEVOORT,AVE
PARK AVENUE,PARK,AVE
MELVILLE AVENUE,MELVILLE,AVE
HEARTT AVENUE,HEARTT,AVE
RIVER STREET,RIVER,ST
JACKSON AVENUE,JACKSON,AVE
BRESLIN AVENUE,BRESLIN,AVE
ALLEY,ALLEY,
RENSSELAER AVENUE,RENSSELAER,AVE
THIRD STREET,THIRD,ST
WASHINGTON AVENUE,WASHINGTON,AVE
PULASKI AVENUE,PULASKI,AVE
MEADOW STREET,MEADOW,ST
FIRST STREET,FIRST,ST
SECOND STREET,SECOND,ST
FOREST AVENUE,FOREST,AVE
MYRTLE AVENUE,MYRTLE,AVE
ADAMS AVENUE,ADAMS,AVE
CONTINENTAL AVENUE,CONTINENTAL,AVE
VAN SCHAICK AVENUE,VAN SCHAICK,AVE
RIVERWALK WAY,RIVERWALK,WAY
RIVERWALK ENTRANCE,RIVERWALK ENTRANCE,
ADMIRALS WALK DRIVE,ADMIRALS WALK,DR
DELAWARE AVENUE TRAIL,DELAWARE AVENUE,TRL
VETERANS MEMORIAL DRIVE,VETERANS MEMORIAL,DR
CANNON STREET,CANNON,ST
COHOES AVENUE,COHOES,AVE
WATERSIDE,WATERSIDE,WAY
WATERSIDE WAY,WATERSIDE,WAY
DYKE AVENUE,DYKE,AVE
RAMP,RAMP,
NIVER STREET,NIVER,ST
BRIDGE STREET,BRIDGE,ST
CENTRAL AVENUE,CENTRAL,AVE
HAWK STREET,HAWK,ST
ALEXANDER STREET,ALEXANDER,ST
SPRING STREET,SPRING,ST
DRIVEWAY,DRIVEWAY,
WOOD AVENUE,WOOD,AVE
EUCLID STREET,EUCLID,ST
MECHANIC STREET,MECHANIC,ST
HUDSON AVENUE,HUDSON,AVE
MAPLE AVENUE,MAPLE,AVE
BRIDGE AVENUE,BRIDGE,AVE
CEDAR STREET,CEDAR,ST
OLIVER STREET,OLIVER,ST
PEACH STREET,PEACH,ST
NEWARK STREET,NEWARK,ST
GEORGE STREET,GEORGE,ST
MAIN STREET,MAIN,ST
CONGRESS STREET,CONGRESS,ST
LANCASTER STREET,LANCASTER,ST
SCHUYLER STREET,SCHUYLER,ST
COLUMBIA STREET,COLUMBIA,ST
HART STREET,HART,ST
MURRAY PLACE,MURRAY,PL
WHITE STREET,WHITE,ST
HOWARD STREET,HOWARD,ST
ROCK ALLEY,ROCK,ALY
NEWCOMB STREET,NEWCOMB,ST
SENECA STREET,SENECA,ST
OLMSTEAD STREET,OLMSTEAD,ST
SARGENT STREET,SARGENT,ST
VAN VECHTEN STREET,VAN VECHTEN,ST
GARNER STREET,GARNER,ST
HIGH STREET,HIGH,ST
STANDISH PLACE,STANDISH,PL
BEDFORD STREET,BEDFORD,ST
MOHAWK HUDSON BIKEWAY,MOHAWK HUDSON BIKEWAY,
YOUNGLOVE AVENUE,YOUNGLOVE,AVE
IMPERIAL AVENUE,IMPERIAL,AVE
GRANT STREET,GRANT,ST
BROADWAY,BROADWAY,
CHARLES STREET,CHARLES,ST
